iteration 	 keff 	 	 error	
67	2.27835	 	0.801225	 	
68	2.23396	 	0.783948	 	
69	2.18914	 	0.766439	 	
70	2.14388	 	0.748697	 	
71	2.0982	 	0.730722	 	
72	2.05209	 	0.71251	 	
73	2.00558	 	0.694061	 	
74	1.95866	 	0.675372	 	
75	1.91135	 	0.656441	 	
76	1.86365	 	0.637265	 	
77	1.81556	 	0.61784	 	
78	1.7671	 	0.598164	 	
79	1.71826	 	0.578232	 	
80	1.66905	 	0.55804	 	
81	1.61948	 	0.537582	 	
82	1.56955	 	0.516854	 	
83	1.51924	 	0.495848	 	
84	1.46857	 	0.474559	 	
85	1.41751	 	0.452977	 	
86	1.36605	 	0.431094	 	
87	1.31418	 	0.408898	 	
88	1.26185	 	0.386379	 	
89	1.20901	 	0.36352	 	
90	1.15561	 	0.340305	 	
91	1.10154	 	0.316712	 	
92	1.04667	 	0.292715	 	
93	0.990808	 	0.268277	 	
94	0.933708	 	0.243352	 	
95	0.875014	 	0.21787	 	
96	0.814241	 	0.191707	 	
97	0.750723	 	0.164575	 	
98	0.683545	 	0.13559	 	
99	0.611461	 	0.101513	 	


iteration 	 keff 	 	 error	
1	 	0.890046	 	-0.109954
2	 	0.984185	 	0.0941396
3	 	0.996974	 	0.0127889
4	 	0.999292	 	0.00231825
5	 	0.999732	 	0.000439133
6	 	0.999868	 	0.000136609
7	 	0.999918	 	5.02579e-05
8	 	0.999937	 	1.9004e-05
9	 	0.999947	 	9.26814e-06
URRa-2-0-SL  delx = 0.0756685 keff= 0.999947 with error: 9.26814e-06

pos	 flux1 	 	 flux2
0	3.88988	 	1.403	 	
1	3.88912	 	1.40273	 	
2	3.8876	 	1.40217	 	
3	3.88531	 	1.40134	 	
4	3.88226	 	1.40023	 	
5	3.87845	 	1.39884	 	
6	3.87388	 	1.39717	 	
7	3.86855	 	1.39523	 	
8	3.86246	 	1.39301	 	
9	3.85562	 	1.39052	 	
10	3.84802	 	1.38775	 	
11	3.83966	 	1.3847	 	
12	3.83055	 	1.38138	 	
13	3.82069	 	1.37778	 	
14	3.81008	 	1.37391	 	
15	3.79873	 	1.36976	 	
16	3.78663	 	1.36534	 	
17	3.77378	 	1.36065	 	
18	3.7602	 	1.35569	 	
19	3.74588	 	1.35046	 	
20	3.73082	 	1.34496	 	
21	3.71504	 	1.33919	 	
22	3.69852	 	1.33315	 	
23	3.68128	 	1.32684	 	
24	3.66332	 	1.32027	 	
25	3.64464	 	1.31343	 	
26	3.62525	 	1.30632	 	
27	3.60515	 	1.29896	 	
28	3.58433	 	1.29133	 	
29	3.56282	 	1.28344	 	
30	3.54061	 	1.27529	 	
31	3.5177	 	1.26688	 	
32	3.49411	 	1.25821	 	
33	3.46983	 	1.24928	 	
34	3.44486	 	1.2401	 	
35	3.41923	 	1.23067	 	
36	3.39292	 	1.22098	 	
37	3.36595	 	1.21104	 	
38	3.33832	 	1.20084	 	
39	3.31004	 	1.1904	 	
40	3.2811	 	1.17971	 	
41	3.25153	 	1.16877	 	
42	3.22132	 	1.15759	 	
43	3.19047	 	1.14616	 	
44	3.159	 	1.13449	 	
45	3.12691	 	1.12258	 	
46	3.09421	 	1.11042	 	
47	3.0609	 	1.09802	 	
48	3.027	 	1.08539	 	
49	2.9925	 	1.07252	 	
50	2.95741	 	1.05941	 	
51	2.92175	 	1.04606	 	
52	2.88551	 	1.03248	 	
53	2.84871	 	1.01866	 	
54	2.81135	 	1.00462	 	
55	2.77343	 	0.990337	 	
56	2.73498	 	0.975825	 	
57	2.69599	 	0.961083	 	
58	2.65647	 	0.94611	 	
59	2.61643	 	0.930908	 	
60	2.57587	 	0.915476	 	
61	2.53481	 	0.899815	 	
62	2.49326	 	0.883924	 	
63	2.45121	 	0.867806	 	
64	2.40868	 	0.851458	 	
65	2.36568	 	0.83488	 	
66	2.32221	 	0.818073	 	
67	2.27828	 	0.801036	 	
68	2.23391	 	0.783768	 	
69	2.18909	 	0.766268	 	
70	2.14384	 	0.748536	 	
71	2.09816	 	0.730568	 	
72	2.05206	 	0.712365	 	
73	2.00555	 	0.693924	 	
74	1.95864	 	0.675242	 	
75	1.91133	 	0.656318	 	
76	1.86363	 	0.637149	 	
77	1.81555	 	0.617732	 	
78	1.76709	 	0.598062	 	
79	1.71825	 	0.578136	 	
80	1.66905	 	0.55795	 	
81	1.61948	 	0.537498	 	
82	1.56955	 	0.516776	 	
83	1.51925	 	0.495776	 	
84	1.46857	 	0.474491	 	
85	1.41751	 	0.452914	 	
86	1.36606	 	0.431036	 	
87	1.31419	 	0.408845	 	
88	1.26186	 	0.386329	 	
89	1.20903	 	0.363475	 	
90	1.15562	 	0.340264	 	
91	1.10155	 	0.316675	 	
92	1.04668	 	0.292681	 	
93	0.990819	 	0.268247	 	
94	0.933718	 	0.243326	 	
95	0.875023	 	0.217847	 	
96	0.814249	 	0.191687	 	
97	0.75073	 	0.164558	 	
98	0.683551	 	0.135576	 	
99	0.611467	 	0.101502	 	


iteration 	 keff 	 	 error	
1	 	0.890049	 	-0.109951
2	 	0.984193	 	0.0941442
3	 	0.996984	 	0.0127913
4	 	0.999303	 	0.00231911
5	 	0.999743	 	0.000439348
6	 	0.999879	 	0.000136686
7	 	0.99993	 	5.0288e-05
8	 	0.999949	 	1.90156e-05
9	 	0.999958	 	9.27385e-06
URRa-2-0-SL  delx = 0.00756685 keff= 0.999958 with error: 9.27385e-06

pos	 flux1 	 	 flux2
0	3.89005	 	1.40306	 	
1	3.89004	 	1.40306	 	
2	3.89002	 	1.40305	 	
3	3.89	 	1.40304	 	
4	3.88997	 	1.40303	 	
5	3.88993	 	1.40302	 	
6	3.88989	 	1.403	 	
7	3.88983	 	1.40298	 	
8	3.88977	 	1.40296	 	
9	3.88971	 	1.40294	 	
10	3.88963	 	1.40291	 	
11	3.88955	 	1.40288	 	
12	3.88945	 	1.40285	 	
13	3.88936	 	1.40281	 	
14	3.88925	 	1.40277	 	
15	3.88913	 	1.40273	 	
16	3.88901	 	1.40269	 	
17	3.88888	 	1.40264	 	
18	3.88875	 	1.40259	 	
19	3.8886	 	1.40254	 	
20	3.88845	 	1.40248	 	
21	3.88829	 	1.40242	 	
22	3.88812	 	1.40236	 	
23	3.88795	 	1.4023	 	
24	3.88776	 	1.40223	 	
25	3.88757	 	1.40216	 	
26	3.88737	 	1.40209	 	
27	3.88717	 	1.40202	 	
28	3.88695	 	1.40194	 	
29	3.88673	 	1.40186	 	
30	3.8865	 	1.40177	 	
31	3.88627	 	1.40169	 	
32	3.88602	 	1.4016	 	
33	3.88577	 	1.40151	 	
34	3.88551	 	1.40141	 	
35	3.88525	 	1.40132	 	
36	3.88497	 	1.40122	 	
37	3.88469	 	1.40111	 	
38	3.8844	 	1.40101	 	
39	3.8841	 	1.4009	 	
40	3.8838	 	1.40079	 	
41	3.88349	 	1.40068	 	
42	3.88317	 	1.40056	 	
43	3.88284	 	1.40044	 	
44	3.8825	 	1.40032	 	
45	3.88216	 	1.40019	 	
46	3.88181	 	1.40006	 	
47	3.88145	 	1.39993	 	
48	3.88109	 	1.3998	 	
49	3.88071	 	1.39966	 	
50	3.88033	 	1.39953	 	
51	3.87994	 	1.39938	 	
52	3.87955	 	1.39924	 	
53	3.87914	 	1.39909	 	
54	3.87873	 	1.39894	 	
55	3.87831	 	1.39879	 	
56	3.87789	 	1.39863	 	
57	3.87745	 	1.39848	 	
58	3.87701	 	1.39832	 	
59	3.87656	 	1.39815	 	
60	3.8761	 	1.39799	 	
61	3.87564	 	1.39782	 	
62	3.87517	 	1.39764	 	
63	3.87469	 	1.39747	 	
64	3.8742	 	1.39729	 	
65	3.8737	 	1.39711	 	
66	3.8732	 	1.39693	 	
67	3.87269	 	1.39674	 	
68	3.87217	 	1.39655	 	
69	3.87165	 	1.39636	 	
70	3.87112	 	1.39617	 	
71	3.87058	 	1.39597	 	
72	3.87003	 	1.39577	 	
73	3.86947	 	1.39557	 	
74	3.86891	 	1.39536	 	
75	3.86834	 	1.39515	 	
76	3.86776	 	1.39494	 	
77	3.86717	 	1.39473	 	
78	3.86658	 	1.39451	 	
79	3.86598	 	1.39429	 	
80	3.86537	 	1.39407	 	
81	3.86475	 	1.39385	 	
82	3.86413	 	1.39362	 	
83	3.8635	 	1.39339	 	
84	3.86286	 	1.39316	 	
85	3.86221	 	1.39292	 	
86	3.86156	 	1.39268	 	
87	3.86089	 	1.39244	 	
88	3.86022	 	1.3922	 	
89	3.85955	 	1.39195	 	
90	3.85886	 	1.3917	 	
91	3.85817	 	1.39145	 	
92	3.85747	 	1.39119	 	
93	3.85676	 	1.39094	 	
94	3.85605	 	1.39068	 	
95	3.85533	 	1.39041	 	
96	3.8546	 	1.39015	 	
97	3.85386	 	1.38988	 	
98	3.85311	 	1.38961	 	
99	3.85236	 	1.38933	 	
100	3.8516	 	1.38905	 	
101	3.85083	 	1.38877	 	
102	3.85006	 	1.38849	 	
103	3.84928	 	1.38821	 	
104	3.84849	 	1.38792	 	
105	3.84769	 	1.38763	 	
106	3.84688	 	1.38733	 	
107	3.84607	 	1.38704	 	
108	3.84525	 	1.38674	 	
109	3.84442	 	1.38643	 	
110	3.84358	 	1.38613	 	
111	3.84274	 	1.38582	 	
112	3.84189	 	1.38551	 	
113	3.84103	 	1.3852	 	
114	3.84017	 	1.38488	 	
115	3.83929	 	1.38456	 	
116	3.83841	 	1.38424	 	
117	3.83752	 	1.38392	 	
118	3.83663	 	1.38359	 	
119	3.83572	 	1.38326	 	
120	3.83481	 	1.38293	 	
121	3.8339	 	1.3826	 	
122	3.83297	 	1.38226	 	
123	3.83204	 	1.38192	 	
124	3.8311	 	1.38157	 	
125	3.83015	 	1.38123	 	
126	3.82919	 	1.38088	 	
127	3.82823	 	1.38053	 	
128	3.82726	 	1.38017	 	
129	3.82628	 	1.37982	 	
130	3.82529	 	1.37946	 	
131	3.8243	 	1.37909	 	
132	3.8233	 	1.37873	 	
133	3.82229	 	1.37836	 	
134	3.82127	 	1.37799	 	
135	3.82025	 	1.37762	 	
136	3.81922	 	1.37724	 	
137	3.81818	 	1.37686	 	
138	3.81713	 	1.37648	 	
139	3.81608	 	1.3761	 	
140	3.81502	 	1.37571	 	
141	3.81395	 	1.37532	 	
142	3.81287	 	1.37493	 	
143	3.81179	 	1.37453	 	
144	3.8107	 	1.37413	 	
145	3.8096	 	1.37373	 	
146	3.8085	 	1.37333	 	
147	3.80738	 	1.37292	 	
148	3.80626	 	1.37251	 	
149	3.80513	 	1.3721	 	
150	3.804	 	1.37169	 	
151	3.80286	 	1.37127	 	
152	3.80171	 	1.37085	 	
153	3.80055	 	1.37043	 	
154	3.79938	 	1.37	 	
155	3.79821	 	1.36957	 	
156	3.79703	 	1.36914	 	
157	3.79584	 	1.36871	 	
158	3.79465	 	1.36827	 	
159	3.79344	 	1.36783	 	
160	3.79223	 	1.36739	 	
161	3.79102	 	1.36695	 	
162	3.78979	 	1.3665	 	
163	3.78856	 	1.36605	 	
164	3.78732	 	1.3656	 	
165	3.78607	 	1.36514	 	
166	3.78482	 	1.36468	 	
167	3.78355	 	1.36422	 	
168	3.78228	 	1.36376	 	
169	3.78101	 	1.36329	 	
170	3.77972	 	1.36282	 	
171	3.77843	 	1.36235	 	
172	3.77713	 	1.36188	 	
173	3.77583	 	1.3614	 	
174	3.77451	 	1.36092	 	
175	3.77319	 	1.36044	 	
176	3.77186	 	1.35995	 	
177	3.77053	 	1.35946	 	
178	3.76918	 	1.35897	 	
179	3.76783	 	1.35848	 	
180	3.76647	 	1.35798	 	
181	3.76511	 	1.35749	 	
182	3.76373	 	1.35698	 	
183	3.76235	 	1.35648	 	
184	3.76097	 	1.35597	 	
185	3.75957	 	1.35546	 	
186	3.75817	 	1.35495	 	
187	3.75676	 	1.35444	 	
188	3.75534	 	1.35392	 	
189	3.75392	 	1.3534	 	
190	3.75248	 	1.35287	 	
191	3.75104	 	1.35235	 	
192	3.7496	 	1.35182	 	
193	3.74814	 	1.35129	 	
194	3.74668	 	1.35075	 	
195	3.74521	 	1.35022	 	
196	3.74374	 	1.34968	 	
197	3.74225	 	1.34914	 	
198	3.74076	 	1.34859	 	
199	3.73926	 	1.34804	 	
200	3.73776	 	1.34749	 	
201	3.73625	 	1.34694	 	
202	3.73473	 	1.34638	 	
203	3.7332	 	1.34583	 	
204	3.73166	 	1.34526	 	
205	3.73012	 	1.3447	 	
206	3.72857	 	1.34413	 	
207	3.72701	 	1.34357	 	
208	3.72545	 	1.34299	 	
209	3.72388	 	1.34242	 	
210	3.7223	 	1.34184	 	
211	3.72071	 	1.34126	 	
212	3.71912	 	1.34068	 	
213	3.71752	 	1.34009	 	
214	3.71591	 	1.33951	 	
215	3.7143	 	1.33892	 	
216	3.71268	 	1.33832	 	
217	3.71105	 	1.33773	 	
218	3.70941	 	1.33713	 	
219	3.70776	 	1.33653	 	
220	3.70611	 	1.33592	 	
221	3.70445	 	1.33532	 	
222	3.70279	 	1.33471	 	
223	3.70112	 	1.3341	 	
224	3.69943	 	1.33348	 	
225	3.69775	 	1.33286	 	
226	3.69605	 	1.33224	 	
227	3.69435	 	1.33162	 	
228	3.69264	 	1.331	 	
229	3.69092	 	1.33037	 	
230	3.6892	 	1.32974	 	
231	3.68747	 	1.3291	 	
232	3.68573	 	1.32847	 	
233	3.68398	 	1.32783	 	
234	3.68223	 	1.32719	 	
235	3.68047	 	1.32654	 	
236	3.6787	 	1.3259	 	
237	3.67693	 	1.32525	 	
238	3.67515	 	1.32459	 	
239	3.67336	 	1.32394	 	
240	3.67156	 	1.32328	 	
241	3.66976	 	1.32262	 	
242	3.66795	 	1.32196	 	
243	3.66613	 	1.32129	 	
244	3.66431	 	1.32063	 	
245	3.66247	 	1.31996	 	
246	3.66063	 	1.31928	 	
247	3.65879	 	1.31861	 	
248	3.65693	 	1.31793	 	
249	3.65507	 	1.31725	 	
250	3.65321	 	1.31656	 	
251	3.65133	 	1.31588	 	
252	3.64945	 	1.31519	 	
253	3.64756	 	1.3145	 	
254	3.64566	 	1.3138	 	
255	3.64376	 	1.3131	 	
256	3.64185	 	1.3124	 	
257	3.63993	 	1.3117	 	
258	3.638	 	1.311	 	
259	3.63607	 	1.31029	 	
260	3.63413	 	1.30958	 	
261	3.63219	 	1.30887	 	
262	3.63023	 	1.30815	 	
263	3.62827	 	1.30743	 	
264	3.6263	 	1.30671	 	
265	3.62433	 	1.30599	 	
